None
None
[0.0010118484497070312, -817L]
[2.4749820232391357, 325L]
[2.4861698150634766, 1105L]
[2.497931957244873, 2432L]
[2.50915789604187, 1911L]
[2.520746946334839, 2122L]
[2.5324699878692627, 869L]
[2.543911933898926, -1602L]
[2.5560569763183594, 1294L]
[2.5668628215789795, 2987L]
[2.5781469345092773, 2460L]
[2.589883804321289, 1348L]
[2.601132869720459, -41L]
[2.612752914428711, -596L]
[2.6243479251861572, -852L]
[2.6355810165405273, -271L]
[2.6478219032287598, 3158359L]
[2.7098388671875, 638L]
[2.7212588787078857, 2264L]
[2.732822895050049, -1100L]
[2.7446999549865723, -95L]
[2.755612850189209, 962L]
[2.767082929611206, 618L]
[2.7790768146514893, 641L]
[2.7901198863983154, 326L]
[2.8015499114990234, -450L]
[2.8132989406585693, -2092L]
[2.8245689868927, -394L]
[2.8371498584747314, 12631L]
[2.8988258838653564, 1785L]
[2.9102718830108643, 868L]
[2.921806812286377, 1041L]
[2.933619976043701, 1366L]
[2.9446218013763428, 1343L]
[2.956096887588501, 1555L]
[2.9680700302124023, 929L]
[2.979142904281616, 586L]
[2.99058198928833, -361L]
[3.002305030822754, 602L]
[3.013542890548706, 1167L]
[3.026108980178833, 12631L]
[3.0879509449005127, 483L]
[3.0993599891662598, 1462L]
[3.1109619140625, 779L]
[3.1227309703826904, -469L]
[3.134600877761841, -2219L]
[3.1452479362487793, -1046L]
[3.15728497505188, -412L]
[3.1682679653167725, -876L]
[3.1796648502349854, 664L]
[3.1914048194885254, 431L]
[3.202651023864746, 1894L]
[3.2151968479156494, 1893L]
[3.2258620262145996, 549L]
[3.2371418476104736, 2538L]
[3.249159812927246, 2033L]
[3.260218858718872, 1488L]
[3.2717349529266357, 277L]
[3.283353805541992, -587L]
[3.2945919036865234, 1483L]
[3.3068249225616455, 1461L]
[3.3178060054779053, -424L]
[3.329084873199463, 1693L]
[3.3408679962158203, 606L]
[3.352077007293701, -382L]
[3.363668918609619, -778L]
[3.3753538131713867, 75L]
[3.3865280151367188, 1437L]
[3.3987088203430176, 12631L]
[3.4608688354492188, -119L]
[3.47226881980896, -121L]
[3.4838058948516846, 399L]
[3.495621919631958, 12631L]
[3.5579419136047363, -1155L]
[3.5693650245666504, -742L]
[3.5809319019317627, 1976L]
[3.5928688049316406, 1222L]
[3.6037449836730957, -1146L]
[3.6152119636535645, -1555L]
[3.6271419525146484, -606L]
[3.6381969451904297, 1329L]
[3.6496589183807373, 642L]
[3.661406993865967, -167L]
[3.672684907913208, 1208L]
[3.6853229999542236, 4439L]
[3.7473440170288086, -822L]
[3.758746862411499, 329L]
[3.77030086517334, -631L]
[3.782066822052002, -151L]
[3.7931318283081055, 1358L]
[3.8045918941497803, 569L]
[3.8165600299835205, -681L]
[3.827570915222168, -570L]
[3.8390820026397705, -59L]
[3.8508059978485107, -1244L]
[3.8620688915252686, -2398L]
[3.874473810195923, -2025L]
[3.9368538856506348, -512L]
[3.948323965072632, -493L]
[3.959836959838867, 549L]
[3.971618890762329, 933L]
[3.982607841491699, -334L]
[3.994091033935547, -2300L]
[4.006036996841431, -1646L]
[4.0171308517456055, -48L]
[4.028595924377441, -1351L]
[4.040340900421143, 260L]
[4.051540851593018, 2542L]
[4.064049005508423, 12631L]
[4.125845909118652, -98L]
[4.13726282119751, 354L]
[4.148813009262085, -896L]
[4.160602807998657, 171L]
[4.17160701751709, 1003L]
[4.183081865310669, 30L]
[4.1951048374176025, 220L]
[4.206108808517456, -223L]
[4.217545986175537, -396L]
[4.229296922683716, -768L]
[4.240526914596558, 170L]
[4.253144025802612, 12631L]
[4.314860820770264, 2646L]
[4.326269865036011, -56L]
[4.337808847427368, -17L]
[4.349562883377075, 930L]
[4.36063289642334, 76L]
[4.372081995010376, 1524L]
[4.38398003578186, -273L]
[4.39513087272644, -1277L]
[4.4065539836883545, -46L]
[4.418296813964844, -895L]
[4.429535865783691, -895L]
[4.442016839981079, 12631L]
[4.503834009170532, 1481L]
[4.515288829803467, 1105L]
[4.526793956756592, 1142L]
[4.5385658740997314, 336L]
[4.549597978591919, -1099L]
[4.561069965362549, -631L]
[4.573050022125244, 5038L]
[4.584084987640381, 16464L]
[4.595541000366211, 17547L]
[4.6073219776153564, 16739L]
[4.618651866912842, 38727L]
[4.6310508251190186, 78167L]
[4.692867994308472, 50323L]
[4.7042670249938965, 35358L]
[4.7157979011535645, 25333L]
[4.727589845657349, 18465L]
[4.738606929779053, 10049L]
[4.750072956085205, 8119L]
[4.762012958526611, 6552L]
[4.773104906082153, 11882L]
[4.784540891647339, 19761L]
[4.796335935592651, 29327L]
[4.807519912719727, 39234L]
[4.8200178146362305, 46563L]
[4.830737829208374, 51151L]
[4.842034816741943, 53818L]
[4.853947877883911, 54686L]
[4.865077972412109, 52565L]
[4.876528978347778, 44447L]
[4.88824987411499, 32402L]
[4.899479866027832, 22901L]
[4.912015914916992, 17205L]
[4.922712802886963, 13992L]
[4.933985948562622, 16166L]
[4.946008920669556, 16837L]
[4.9570229053497314, 20121L]
[4.968492031097412, 27426L]
[4.980223894119263, 35136L]
[4.991437911987305, 42677L]
[5.003963947296143, 47665L]
[5.014671802520752, 48464L]
[5.025943994522095, 48736L]
[5.037935972213745, 46070L]
[5.049048900604248, 40246L]
[5.0605738162994385, 34955L]
[5.07214879989624, 28101L]
[5.0833899974823, 22518L]
[5.095608949661255, 17172L]
[5.106621026992798, 16627L]
[5.1178789138793945, 17461L]
[5.129607915878296, 20857L]
[5.140913963317871, 25561L]
[5.152486801147461, 32955L]
[5.1640989780426025, 39388L]
[5.175367832183838, 44167L]
[5.187598943710327, 45627L]
[5.198534965515137, 45652L]
[5.209824800491333, 45699L]
[5.221582889556885, 40807L]
[5.2328269481658936, 36523L]
[5.244477987289429, 30352L]
[5.2560389041900635, 24361L]
[5.267307996749878, 20637L]
[5.279529809951782, 19804L]
[5.290509939193726, 20484L]
[5.3017799854278564, 23518L]
[5.313532829284668, 25045L]
[5.3248608112335205, 31389L]
[5.336509943008423, 35672L]
[5.347982883453369, 40095L]
[5.3592529296875, 42945L]
[5.371112823486328, 43995L]
[5.382452011108398, 44300L]
[5.393728017807007, 41518L]
[5.405524969100952, 1061207L]
[5.4679248332977295, 23251L]
[5.479351997375488, 24367L]
[5.4908928871154785, 27208L]
[5.5027289390563965, 31576L]
[5.513713836669922, 36840L]
[5.525187969207764, 38686L]
[5.537195920944214, 40819L]
[5.548220872879028, 42748L]
[5.559631824493408, 41074L]
[5.571404933929443, 38091L]
[5.582610845565796, 34259L]
[5.5952019691467285, -1035945L]
[5.6568968296051025, 28177L]
[5.6683149337768555, 29349L]
[5.679823875427246, 31503L]
[5.691632986068726, 34557L]
[5.702696800231934, 34974L]
[5.714103937149048, 37361L]
[5.726145029067993, 37643L]
