None
None
[0.00096893310546875, -741L]
[3.2973520755767822, -1819L]
[3.3095479011535645, -1955L]
[3.320559024810791, -461L]
[3.3318190574645996, 533L]
[3.343782901763916, 1061L]
[3.354832887649536, -1052L]
[3.366384983062744, -2006L]
[3.3780219554901123, -1605L]
[3.389263868331909, -1024L]
[3.40134596824646, 313L]
[3.4124720096588135, 926L]
[3.423736095428467, 549L]
[3.4356839656829834, 327L]
[3.4467458724975586, 714L]
[3.4583139419555664, -897L]
[3.469943046569824, -736L]
[3.481184959411621, 79L]
[3.4932870864868164, 642L]
[3.5043890476226807, 1909L]
[3.5156500339508057, 92L]
[3.5276200771331787, -1686L]
[3.53869891166687, -1547L]
[3.550222873687744, 144L]
[3.561918020248413, 1676L]
[3.5733420848846436, 1664L]
[3.585118055343628, 199L]
[3.596381902694702, -379L]
[3.607624053955078, -874L]
[3.6197149753570557, -2039L]
[3.6306960582733154, -1159L]
[3.6422228813171387, -1243L]
[3.6538338661193848, -765L]
[3.6650750637054443, -279L]
[3.6771109104156494, -1532L]
[3.6883180141448975, -2357L]
[3.6995489597320557, -1629L]
[3.7115519046783447, -950L]
[3.7226650714874268, -565L]
[3.7342400550842285, 273L]
[3.7457668781280518, 1678L]
[3.756993055343628, 425L]
[3.7692739963531494, 659L]
[3.8315749168395996, 879L]
[3.842989921569824, -644L]
[3.8545379638671875, -1255L]
[3.86612606048584, 808L]
[3.8775320053100586, 2134L]
[3.888828992843628, 134L]
[3.9005889892578125, -1311L]
[3.912014961242676, 1370L]
[3.9233779907226562, 1513L]
[3.9350268840789795, -1135L]
[3.946249008178711, -325L]
[3.9582700729370117, -635L]
[3.969482898712158, -113L]
[3.980717897415161, 1939L]
[3.9927520751953125, -368L]
[4.003835916519165, 672L]
[4.015392065048218, 1554L]
[4.026939868927002, 186L]
[4.0381739139556885, -564L]
[4.050337076187134, -423L]
[4.061389923095703, -364L]
[4.072643041610718, 450L]
[4.084539890289307, 879L]
[4.095637083053589, 139L]
[4.107326030731201, 640L]
[4.118905067443848, -85L]
[4.130109071731567, 220L]
[4.142338037490845, -479L]
[4.153301954269409, -668L]
[4.164594888687134, -539L]
[4.176460027694702, -1847L]
[4.187563896179199, -2054L]
[4.199276924133301, -887L]
[4.21077299118042, -236L]
[4.222014904022217, -113L]
[4.234224081039429, -934L]
[4.245243072509766, -1265L]
[4.256485939025879, -32L]
[4.268295049667358, -76L]
[4.279460906982422, -62L]
[4.291109085083008, 265L]
[4.302619934082031, 971L]
[4.313889026641846, 1043L]
[4.326034069061279, 33L]
[4.337102890014648, 705L]
[4.348361968994141, 535L]
[4.360208988189697, 1277L]
[4.3713579177856445, 795L]
[4.383013963699341, 801L]
[4.394566059112549, 1406L]
[4.40581488609314, 2138L]
[4.417948961257935, 1968L]
[4.429080009460449, 1563L]
[4.440281867980957, 823L]
[4.453348875045776, 161L]
[4.4635169506073, -213L]
[4.475069046020508, -589L]
[4.4865570068359375, 323L]
[4.497757911682129, 1225L]
[4.5096259117126465, 911L]
[4.520988941192627, 330L]
[4.532250881195068, -140L]
[4.5440099239349365, -901L]
[4.555267095565796, 639L]
[4.567162036895752, 1572L]
[4.5786049365997314, 8L]
[4.589684963226318, -665L]
[4.601693868637085, -1080L]
[4.612832069396973, 484L]
[4.62431001663208, 1979L]
[4.635905981063843, -301L]
[4.647154092788696, 1070L]
[4.659584045410156, 483L]
[4.670386075973511, -277L]
[4.681604862213135, 1868L]
[4.693557024002075, 796L]
[4.704608917236328, 105L]
[4.7161948680877686, 1051L]
[4.727838039398193, 3089L]
[4.7390968799591064, 2516L]
[4.751443862915039, 912L]
