None
None
[0.001135110855102539, -1334L]
[1.2620649337768555, -869L]
[1.2732789516448975, -375L]
[1.2852070331573486, -2486L]
[1.2962911128997803, -610L]
[1.3078629970550537, -68L]
[1.3194849491119385, -150L]
[1.3307271003723145, -829L]
[1.3429009914398193, -447L]
[1.3539400100708008, -825L]
[1.365199089050293, 718L]
[1.3771450519561768, -415L]
[1.3882050514221191, -959L]
[1.399765968322754, 178L]
[1.4114699363708496, 195L]
[1.4741630554199219, -154L]
[1.485564947128296, -962L]
[1.4970951080322266, -440L]
[1.5087931156158447, -1006L]
[1.5200860500335693, -549L]
[1.5313949584960938, 122L]
[1.5432898998260498, -17L]
[1.5545580387115479, 120L]
[1.5659639835357666, -904L]
[1.5775740146636963, -547L]
[1.5888190269470215, 75L]
[1.601133108139038, -1363L]
[1.612023115158081, -2435L]
[1.6232850551605225, -520L]
[1.6352059841156006, -223L]
[1.6462910175323486, 111L]
[1.6578590869903564, -540L]
[1.6694929599761963, -85L]
[1.6807310581207275, 673L]
[1.692924976348877, -905L]
[1.7039411067962646, -1253L]
[1.715196132659912, -1077L]
[1.7271599769592285, -1655L]
[1.7382159233093262, 796L]
[1.7497789859771729, 422L]
[1.7614719867706299, -1597L]
[1.8241569995880127, -1753L]
[1.8355419635772705, -1016L]
[1.8471031188964844, -1566L]
[1.8587760925292969, -428L]
[1.8700881004333496, 147L]
[1.881411075592041, -114L]
[1.8932421207427979, -1262L]
[1.9045469760894775, -2692L]
[1.9159369468688965, -1589L]
[1.9275779724121094, -285L]
[1.9388160705566406, 970L]
[1.9511089324951172, 1218L]
[1.9620249271392822, 383L]
[1.9732789993286133, 757L]
[1.9852299690246582, -1080L]
[1.9962921142578125, -569L]
[2.0078999996185303, -690L]
[2.0194900035858154, -2037L]
[2.0307259559631348, -1656L]
[2.042872905731201, -1268L]
[2.053942918777466, -1612L]
[2.065187931060791, -574L]
[2.0771849155426025, -894L]
[2.088207960128784, 660L]
[2.0997660160064697, 1318L]
[2.1114649772644043, -1021L]
[2.174164056777954, -2841L]
[2.185554027557373, -1313L]
[2.197098970413208, -1100L]
[2.208782911300659, -1761L]
[2.220088005065918, -1214L]
[2.2313990592956543, 351L]
[2.2432479858398438, 51L]
[2.254549980163574, 271L]
[2.2659459114074707, 3L]
[2.277600049972534, -632L]
[2.288818120956421, -915L]
[2.3011810779571533, -1058L]
[2.31203293800354, -2421L]
[2.3232901096343994, -1533L]
[2.335237979888916, -522L]
[2.3462960720062256, -979L]
[2.357870101928711, -262L]
[2.3694961071014404, -217L]
[2.3807389736175537, -336L]
[2.392909049987793, -485L]
[2.403939962387085, -866L]
[2.4151971340179443, -920L]
[2.4271509647369385, -725L]
[2.438214063644409, 368L]
[2.449777126312256, -171L]
[2.4614710807800293, -1213L]
[2.5241549015045166, -1666L]
[2.5355470180511475, -155L]
[2.54709792137146, -281L]
[2.5587809085845947, -281L]
[2.570082902908325, 18L]
[2.581389904022217, -320L]
[2.5932528972625732, -1613L]
[2.6045329570770264, -1706L]
[2.6159470081329346, -1351L]
[2.6275949478149414, -1997L]
[2.6388120651245117, 459L]
[2.651139974594116, -240L]
[2.6620399951934814, -798L]
[2.6732840538024902, -166L]
[2.685235023498535, -277L]
[2.6962831020355225, -162L]
[2.707858085632324, -876L]
[2.719486951828003, -303L]
[2.7307300567626953, 690L]
[2.7429039478302, -298L]
[2.7539360523223877, 921L]
[2.76519513130188, 2119L]
[2.7771339416503906, 913L]
[2.7881999015808105, 1177L]
[2.7997729778289795, 90L]
[2.8114631175994873, -765L]
[2.8741509914398193, -1460L]
[2.8855440616607666, -1194L]
[2.89709210395813, -2348L]
[2.908828020095825, -735L]
[2.920073986053467, 876L]
[2.9313831329345703, 516L]
[2.9432151317596436, -1292L]
[2.9545390605926514, -182L]
[2.9659481048583984, 1123L]
[2.977597951889038, -718L]
[2.9888200759887695, -166L]
[3.001112937927246, -90L]
[3.012018918991089, -470L]
[3.0232720375061035, -45L]
[3.035193920135498, -1008L]
[3.046513080596924, -952L]
[3.058011054992676, 747L]
[3.069495916366577, -212L]
[3.080733060836792, -284L]
[3.0925040245056152, -948L]
[3.10392689704895, -1951L]
[3.115183115005493, -89L]
[3.12699294090271, 1100L]
[3.1381750106811523, 424L]
[3.149838924407959, 233L]
[3.1614370346069336, -1221L]
[3.1726279258728027, -515L]
[3.184725046157837, -1616L]
[3.195836067199707, 578L]
[3.207098960876465, 1572L]
[3.218904972076416, -888L]
[3.230928897857666, -639L]
[3.2418429851531982, 394L]
[3.253286123275757, -110L]
[3.2645421028137207, -679L]
[3.276655912399292, -595L]
[3.287750005722046, 96L]
[3.2990081310272217, -114L]
[3.3108110427856445, -1431L]
[3.322010040283203, -1034L]
[3.3336830139160156, -1585L]
[3.3452000617980957, -1381L]
[3.356466054916382, 1080L]
[3.3685669898986816, -539L]
[3.3796679973602295, -416L]
[3.390923023223877, -963L]
[3.402714967727661, -1508L]
[3.4139130115509033, -1531L]
[3.426316976547241, 127747L]
[3.4884839057922363, -504L]
[3.4998810291290283, -127L]
[3.511461019515991, 44L]
[3.522965908050537, -107L]
[3.534404993057251, -741L]
