Presion inicial: 150 psi, presion de trabajo 80 psi
Ciclos de apertura y cierre cada segundo
Fecha: 22-Feb-2019.
Tiempo	Ciclos
144.188947916	143
145.190186024	144
146.1914258	145
147.192643881	146
148.193883896	147
149.195192814	148
150.196409941	149
151.197912931	150
152.19922781	151
153.200480938	152
154.201733828	153
155.203006029	154
156.204254866	155
157.205567837	156
158.206830978	157
159.208093882	158
160.20934391	159
161.210858822	160
162.212127924	161
163.213408947	162
164.214682817	163
165.215912819	164
166.217180967	165
167.218488932	166
168.219734907	167
169.220989943	168
170.222260952	169
171.223776817	170
172.225078821	171
173.226395845	172
174.227633953	173
175.228878021	174
176.230157852	175
177.231400967	176
178.232645988	177
179.233933926	178
180.235169888	179
181.236683846	180
182.237977028	181
183.239269018	182
184.240527868	183
185.241801023	184
186.243057013	185
187.244371891	186
188.245699883	187
189.246972799	188
190.248276949	189
191.249830008	190
192.251130819	191
193.252449989	192
194.253765821	193
195.255077839	194
196.256402016	195
197.25767684	196
198.25898385	197
199.260308027	198
200.261578798	199
201.263149977	200
202.26451993	201
203.265844822	202
204.267108917	203
205.268344879	204
206.269603968	205
207.270923853	206
208.272269964	207
209.273614883	208
210.274910927	209
211.276473999	210
212.277832985	211
213.279119968	212
214.280442953	213
215.281718969	214
216.282994986	215
217.284317017	216
218.285600901	217
219.286859989	218
220.28815484	219
221.289695978	220
222.291036844	221
223.292340994	222
224.293612957	223
225.294920921	224
226.296230793	225
227.297557831	226
228.298869848	227
229.300158978	228
230.301426888	229
231.303066969	230
232.304411888	231
233.305727005	232
234.307006836	233
235.308306932	234
236.309587002	235
237.310894966	236
238.312239885	237
239.313524961	238
240.314772844	239
241.316325903	240
242.317643881	241
243.31894803	242
244.320252895	243
245.321537971	244
246.322808027	245
247.324124813	246
248.325410843	247
249.326664925	248
250.327952862	249
251.329493999	250
252.330811024	251
253.332072973	252
254.333372831	253
255.334710836	254
256.336004019	255
257.337312937	256
258.338587999	257
259.339936972	258
260.341211796	259
261.3427279	260
262.344022989	261
263.345315933	262
264.346660852	263
265.347929955	264
266.349200964	265
267.350481987	266
268.351770878	267
269.353041887	268
270.354321957	269
271.355816841	270
272.357106924	271
273.358381987	272
274.359681845	273
275.36093998	274
276.362253904	275
277.363546848	276
278.364832878	277
279.366097927	278
280.36736393	279
281.368908882	280
282.370195866	281
283.371542931	282
284.372823954	283
285.374385834	284
286.376007795	285
287.377745867	286
288.379318953	287
289.380991936	288
290.382646799	289
291.384532928	290
292.386150837	291
293.387899876	292
294.389442921	293
295.39112401	294
296.392790794	295
297.394518852	296
298.396170855	297
299.397853851	298
300.399364948	299
301.401252985	300
302.402938843	301
303.404498816	302
304.406149864	303
305.40780282	304
306.409413815	305
307.411067009	306
308.412339926	307
309.413566828	308
310.414809942	309
311.416321993	310
312.417603016	311
313.418865919	312
314.420112848	313
315.421329021	314
316.422572851	315
317.423851013	316
318.425101995	317
319.426349878	318
320.427622795	319
321.429111004	320
322.430377007	321
323.431641817	322
324.432881832	323
325.434104919	324
326.435355902	325
327.436650991	326
328.437916994	327
329.43916297	328
330.440414906	329
331.441920996	330
332.443217993	331
333.444485903	332
334.445753813	333
335.447016001	334
336.448293924	335
337.449584961	336
338.450878859	337
339.452134848	338
340.453383923	339
341.454959869	340
342.456240892	341
343.457497835	342
344.45874691	343
345.459978819	344
346.461233854	345
347.462510824	346
348.463763952	347
349.465059996	348
350.466350794	349
351.467878819	350
352.469190836	351
353.470475912	352
354.471700907	353
355.472967863	354
356.474306822	355
357.475575924	356
358.476862907	357
359.478139877	358
360.479462862	359
361.481019974	360
362.482379913	361
363.483673811	362
364.484992981	363
365.486295938	364
366.487581968	365
367.488863945	366
368.490155935	367
369.491408825	368
370.492703915	369
371.494242907	370
372.495609999	371
373.49691391	372
374.498256922	373
375.49958396	374
376.500904799	375
377.502235889	376
378.503569841	377
379.504854918	378
380.506130934	379
381.507638931	380
382.508914948	381
383.510207891	382
384.511565924	383
385.512902021	384
386.514228821	385
387.515579939	386
388.51690793	387
389.518182993	388
390.519454002	389
391.521009922	390
392.522311926	391
393.52361083	392
394.52493	393
395.526223898	394
396.527513027	395
397.528797865	396
398.530125856	397
399.531390905	398
400.532696009	399
401.534253836	400
402.535598993	401
403.53685689	402
404.538175821	403
405.53944397	404
406.540709972	405
407.541975975	406
408.543267012	407
409.544562817	408
410.545830011	409
411.547372818	410
412.548707962	411
413.550040007	412
414.55131793	413
415.553077936	414
416.554416895	415
417.555735826	416
418.557041883	417
419.558298826	418
420.559548855	419
421.561089993	420
422.56237793	421
423.563666821	422
424.565002918	423
425.566305876	424
426.56761384	425
427.568913937	426
428.570243835	427
429.571506977	428
430.572822809	429
431.574380875	430
432.575667858	431
433.576933861	432
434.578193903	433
435.579794884	434
436.58108902	435
437.582377911	436
438.583679914	437
439.584960938	438
440.586295843	439
441.587829828	440
442.589119911	441
443.590425014	442
444.591709852	443
445.593017817	444
446.594353914	445
447.595628977	446
448.596892834	447
449.598143816	448
450.599414825	449
451.600978851	450
452.602308989	451
453.603636026	452
454.604995012	453
455.606298923	454
456.607630968	455
457.608918905	456
458.610257864	457
459.611553907	458
460.612816811	459
461.614404917	460
462.615703821	461
463.617018938	462
464.618301868	463
465.619586945	464
466.620859861	465
467.622134924	466
468.623435974	467
469.624709845	468
470.626003981	469
471.627534866	470
472.628844976	471
473.630151987	472
474.631434917	473
475.632767916	474
476.63406992	475
477.635324955	476
478.636613846	477
479.637864828	478
480.639168024	479
481.640775919	480
482.642105818	481
483.643429995	482
484.64474988	483
485.646037817	484
486.647279978	485
487.64854598	486
488.649808884	487
489.651050806	488
490.652290821	489
491.653829813	490
492.655119896	491
493.656384945	492
494.657636881	493
495.658847809	494
496.660085917	495
497.661337852	496
498.662561893	497
499.663803816	498
500.665054798	499
501.666522026	500
502.667783022	501
503.669040918	502
504.670275927	503
505.671535015	504
506.672806978	505
507.674080849	506
508.675367832	507
509.676647902	508
510.677892923	509
511.679420948	510
512.680720806	511
513.681960821	512
514.683193922	513
515.684436798	514
516.685671806	515
517.686918974	516
518.68817687	517
519.68938899	518
520.69065094	519
521.692186832	520
522.693463802	521
523.694731951	522
524.696012974	523
525.697290897	524
526.698539972	525
527.699781895	526
528.700996876	527
529.702231884	528
530.703495979	529
531.70498395	530
532.70626688	531
533.707545996	532
534.708758831	533
535.710002899	534
536.711269855	535
537.712526798	536
538.713794947	537
539.715068817	538
540.716287851	539
541.717768908	540
542.71902895	541
543.720260859	542
544.721504927	543
545.72277689	544
546.724048853	545
547.725301027	546
548.726590872	547
549.727808952	548
550.729041815	549
551.730562925	550
552.731868982	551
553.733131886	552
554.734418869	553
555.735641956	554
556.736897945	555
557.738168001	556
558.739394903	557
559.740633011	558
560.741943836	559
561.743432999	560
562.744693995	561
563.746012926	562
564.747278929	563
565.748560905	564
566.749863863	565
567.751165867	566
568.752511978	567
569.753798962	568
570.755067825	569
571.756615877	570
572.757907867	571
573.759172916	572
574.760451794	573
575.761719942	574
576.763006926	575
577.764317989	576
578.765604973	577
579.766879797	578
580.768167019	579
581.769713879	580
582.77102685	581
583.772346973	582
584.773641825	583
585.774948835	584
586.776283026	585
587.777586937	586
588.778854847	587
589.780128956	588
590.781426907	589
591.782977819	590
592.784339905	591
593.785691977	592
594.786976814	593
595.78836298	594
596.789672852	595
597.790959835	596
598.792272806	597
599.793567896	598
600.794828892	599
601.796377897	600
602.797642946	601
603.798914909	602
604.800213814	603
605.801484823	604
606.802748919	605
607.803999901	606
608.805266857	607
609.806512833	608
